frequency_thz,mode,cutoff_thz,beta_rad_m,coupling_fraction_full_beam,coupling_fraction_aperture,attenuation_np_m,copper_loss_db,output_power_fraction,relative_group_delay_ps,amplitude_real,amplitude_imag
1.1,TM14,0.6357193302349714,18814.349902853206,9.462687313844116e-05,9.462687652667244e-05,0.8913063497553904,3.0967154350727664,4.638130307908074e-05,300.68400723223624,0.0,0.009740924452411124
1.1,TE15,0.709193116772911,17623.117261220483,5.408153130901221e-06,5.408153324546778e-06,0.3992747734696208,1.3872226470482174,3.9294042937339035e-06,411.19762003242596,0.0,7.527213161823157e-06
1.1,TM15,0.7858706096283751,16131.301088502556,6.48703749048135e-07,6.487037722757685e-07,1.0395538433697082,3.6117799825342525,2.8240241713194515e-07,572.6164970889022,0.0,0.0011967340590018302
1.1,TE16,0.8595830165870509,14385.453934781923,7.621316982897377e-09,7.621317255787982e-09,0.7144043762218943,2.4820950275256273,4.303487266311263e-09,804.0383626379074,0.0,4.1707166143914704e-07
1.1,TM16,0.9359403154819943,12112.746343339635,4.842866719198706e-11,4.8428668926034894e-11,1.3844394550741868,4.810035326942913,1.5999226409737324e-11,1205.2453687441523,0.0,-1.550589825760705e-05
1.1,TE17,1.0098251367594069,9141.66164021936,4.778360656164419e-10,4.778360827259484e-10,1.5478092891478255,5.3776402665239615,1.3852077070715595e-10,2030.5958464298255,0.0,1.667473104273059e-07
1.1,TM17,1.0859621843316567,3671.3877579321424,4.2719574685097575e-09,4.271957621472435e-09,4.567584346464324,15.869413418377011,1.1058228976351993e-10,7044.139626043574,0.0,0.00033056821939193474
1.12,TE11,0.08784923322365325,23401.144544336737,0.3881272051293605,0.38812721253744603,0.31231869170819127,1.0851062752328828,0.3023176182588171,4.12343178471699,0.0,8.92231271922658e-05
1.12,TM11,0.18282391732568906,23158.617252752574,0.3079600258669478,0.3079600317449028,0.7439458173801148,2.584732506585505,0.16983261502571817,18.139537647717912,0.0,0.07601233380411446
1.12,TE12,0.2543815366920744,22859.992162164905,0.19135482929497838,0.1913548329473195,0.06626739191103181,0.2302365010966504,0.18147457042608736,35.80618209753801,0.0,0.00026368200794599174
