frequency_thz,waist_mm,aperture_throughput,total_coupled_fraction,total_output_power_fraction,dominant_mode,dominant_output_fraction
1.7400000000000002,0.21591751105244555,1.0,1.0000000000000002,0.6915140605681713,TE12,0.19688454614029355
1.7600000000000002,0.21346390297230414,1.0,0.9999999999999998,0.6906996113389717,TE12,0.19541100900125882
1.78,0.21106543215239068,1.0,1.0,0.689892669331016,TE12,0.1938982666977409
1.8,0.2087202606840307,1.0,1.0000000000000002,0.6890929956948681,TE12,0.19235068985258696
1.82,0.20642663144574472,1.0,1.0,0.6883003668420314,TE12,0.1907723601771497
1.84,0.20418286371263872,1.0,1.0,0.6875145732091027,TE12,0.18916708606365884
1.86,0.20198734904906196,1.0,1.0,0.686735418139434,TE12,0.18753841765906243
1.88,0.19983854746343369,1.0,1.0,0.6859627168543863,TE12,0.18588966138185156
1.9000000000000001,0.19773498380592383,1.0,1.0000000000000002,0.685196295528892,TE12,0.18422389386601498
1.9200000000000002,0.19567524439127879,1.0,1.0,0.6844359904409911,TE12,0.18254397531288463
1.9400000000000002,0.19365797383054398,1.0,0.9999999999999999,0.6836816471982425,TE12,0.18085256224825152
1.9600000000000002,0.19168187205676288,1.0,1.0000000000000002,0.682933120031029,TE12,0.17915211968463068
1.9800000000000002,0.18974569153093704,1.0,1.0,0.6821902711466232,TE12,0.17744493269453115
2.0,0.18784823461562766,1.0,1.0,0.6814529701383076,TE12,0.17573311740460845
